Plant Label ,Plant_ID ,Individual,Slice_Number,Use,Treatment,Wave,Bulbil_category,Whole_bulbil,Freeze_dried_bulbil,Feeding_slice,Chemistry_slice,Larva_length,Larva_breadth,Whole_Bulbil_length,Whole_Bulbil_width,Bulbil_slice_length,Bulbil_slice_width
98_a,98,a,1,Feeding,JA,1,Small,,0.1032,8.1792,0.3272,1.63,0.65,,,22.44,23.91
98_b ,98,b,1,Feeding,JA,1,Small,,0.1398,9.2168,0.4389,1.75,0.65,,,23.65,25.59
98_c_x,98,c,1,Chemistry,JA,1,Small,,1.9564,7.1644,,,,,,24.91,23.39
119_a_x,119,a,1,Chemistry,JA,1,Small,,2.3343,9.4636,,,,,,30.73,24.45
119_b_1,119,b,1,Feeding,JA,1,Medium ,,,15.9594,,1.83,0.64,,,42.9,25.6
119_b_2,119,b,2,Feeding,JA,1,Medium ,,,12.8651,,1.76,0.72,,,42.63,25.83
119_b_3_ctrl,119,b,3,Control,JA,1,Medium ,,3.1901,13.345,,,,,,41.71,26.21
119_b_4_DI,119,b,4,Control,JA,1,Medium ,,2.7241,11.0845,,,,,,21.33,40.33
59_a,59,a,1,Feeding,SA,1,Small,,0.2218,9.8576,0.7337,1.68,0.57,,,23.44,27.33
59_b_x,59,b,1,Chemistry,SA,1,Small,,3.1098,13.0869,,,,,,35.33,27.81
43_a,43,a,1,Feeding,SA,1,Small,,0.2587,6.1809,0.8487,2.27,0.68,,,17.46,24.03
125_a,125,a,1,Feeding,SA,1,Small,,0.4531,15.0381,1.4185,1.67,0.62,,,26.1,30.91
125_b_x,125,b,1,Chemistry,SA,1,Small,,3.6062,14.4838,,,,,,32.34,30.8
162_a,162,a,1,Feeding,SA,1,Small,,0.1744,7.6994,0.6516,2.02,0.53,,,20.78,24.65
35_a,35,a,1,Feeding,Control ,1,Small,,0.1576,7.7803,0.4799,1.61,0.6,,,21.11,24.2
35_b_x,35,b,1,Chemistry,Control ,1,Small,,0.3471,7.0645,,,,,,26.98,22.88
81_a,81,a,1,Feeding,Control ,1,Small,,0.1419,6.9955,0.4899,1.82,0.72,,,20.44,24.68
77_a,77,a,1,Feeding,Control ,1,Small,,0.1171,6.8809,0.3609,1.63,0.55,,,22.73,22.22
87_a_x,87,a,1,Chemistry,Control ,1,Small,,2.5706,9.5479,,,,,,27.95,27.92
80_a,80,a,1,Feeding,Control ,1,Small,,0.1107,4.2201,0.3386,2.25,0.7,,,19.04,18.27
172_a,172,a,1,Feeding,Control ,1,Small,,0.0977,5.1565,0.3252,2.14,0.48,,,18.17,21.19
130_a,130,a,1,Feeding,Beetle ,1,Small,,0.2161,11.7685,0.7195,2.27,0.73,,,22.96,28.42
131_a,131,a,1,Feeding,Beetle ,1,Small,,0.3512,10.3555,1.3349,2.26,0.76,,,20.87,27.7
62_a,62,a,1,Feeding,Beetle ,1,Small,,0.0761,7.3729,0.2751,1.62,0.55,,,20.55,24.41
62_b_x,62,b,1,Chemistry,Beetle ,1,Small,,1.6281,6.9428,,,,,,21.12,25.34
138_a_x,138,a,1,Chemistry,Beetle ,1,Small,,1.9899,9.4128,,,,,,24.75,27.02
113_c_1,113,c,1,Feeding,Beetle ,1,Medium ,,,11.4802,,1.6,0.71,,,40.94,25.86
113_c_2,113,c,2,Feeding,Beetle ,1,Medium ,,,14.3171,,1.91,0.81,,,44.23,24.68
113_c_3_ctrl,113,c,3,Control,Beetle ,1,Medium ,,2.5307,11.8146,,,,,,43.82,22.86
113_c_4_DI,113,c,4,Control,Beetle ,1,Medium ,,1.9038,9.7245,,,,,,23.49,39.17
98_d,98,d,1,Feeding,JA,2,Extra small,,0.0686,,,1.61,0.6,,,14.01,14.56
98_e_x,98,e,1,Chemistry,JA,2,Extra small,,0.5477,,,,,,,13.02,14.57
4_a,4,a,1,Feeding,JA,2,Extra small,,0.0345,,,1.81,0.52,,,14.22,14.12
4_b_x ,4,b,1,Chemistry,JA,2,Extra small,,0.4373,,,,,,,18.28,11.48
89_a,89,a,1,Feeding,JA,2,Extra small,,0.0456,,,1.59,0.4,,,16.48,16.95
89_b,89,b,1,Feeding,JA,2,Extra small,,0.0385,,,1.69,0.5,,,15.81,15.62
89_c,89,c,1,Feeding,JA,2,Extra small,,0.0309,,,1.7,0.42,,,14.4,15.54
89_d,89,d,1,Feeding,JA,2,Extra small,,0.0116,,,1.42,0.42,,,12.59,13.07
89_e,89,e,1,Feeding,JA,2,Extra small,,0.0121,,,1.44,0.47,,,14.2,13.19
89_f_x,89,f,1,Chemistry,JA,2,Extra small,,0.3879,,,,,,,15.28,11.36
89_g_x,89,g,1,Chemistry,JA,2,Extra small,,0.3651,,,,,,,13.02,11.16
47_a,47,a,1,Feeding,JA,2,Extra small,,0.0175,,,1.43,0.52,,,14.39,14.34
47_b_x,47,b,1,Chemistry,JA,2,Extra small,,0.781,,,,,,,16.83,17.95
142_a,142,a,1,Feeding,JA,2,Extra small,,0.0053,,,1.78,0.52,,,11.75,13.21
76_a_1,76,a,1,Feeding,SA,2,Small,,0.0331,,,1.78,0.45,,,25.53,12.65
76_a_2,76,a,2,Feeding,SA,2,Small,,0.0335,,,1.56,0.56,,,24.35,11.68
76_b_x,76,b,1,Chemistry,SA,2,Small,,2.4529,,,,,,,24.95,21.36
162_b,162,b,1,Feeding,SA,2,Extra small,,0.0222,,,2.13,0.52,,,16.98,17.06
162_c,162,c,1,Feeding,SA,2,Extra small,,0.0132,,,1.74,0.52,,,16.37,15.89
162_d_x,162,d,1,Feeding,SA,2,Extra small,,0.5941,,,,,,,16.43,16.05
160_a,160,a,1,Chemistry,SA,2,Extra small,,0.0149,,,1.88,0.53,,,15.48,17
160_b,160,b,1,Feeding,SA,2,Extra small,,0.008,,,1.8,0.47,,,15.28,14.95
160_c_x,160,c,1,Chemistry,SA,2,Extra small,,0.5804,,,,,,,15.73,13.71
159_a,159,a,1,Feeding,SA,2,Extra small,,0.0098,,,1.85,0.62,,,13.39,15.75
159_b_x,159,b,1,Chemistry,SA,2,Extra small,,0.4955,,,,,,,13.2,15.88
180_a,180,a,1,Feeding,Control ,2,Small,,0.028,,,1.84,0.56,,,19.49,19.81
180_b,180,b,1,Feeding,Control ,2,Small,,0.0383,,,1.87,0.5,,,17.47,19.75
180_c,180,c,1,Feeding,Control ,2,Small,,0.0194,,,1.68,0.43,,,17.53,15.22
180_d_x,180,d,1,Chemistry,Control ,2,Extra small,,0.4758,,,,,,,15.35,11.34
77_a,77,a,1,Feeding,Control ,2,Extra small,,0.0238,,,1.93,0.44,,,14.85,13.61
77_b_x,77,b,1,Chemistry,Control ,2,Extra small,,0.4762,,,,,,,15.27,12.79
53_a_1,53,a,1,Feeding,Control ,2,Small,,0.0226,,,1.77,0.54,,,24.04,13.31
53_a_2,53,a,2,Feeding,Control ,2,Small,,0.0396,,,1.65,0.47,,,22.45,12.56
53_b_1,53,b,1,Feeding,Control ,2,Small,,0.0332,,,1.36,0.45,,,20.39,12.55
53_b_2,53,b,2,Feeding,Control ,2,Small,,0.0203,,,1.92,0.68,,,22.04,11.53
53_c_x,53,c,1,Chemistry,Control ,2,Small,,3.1176,,,,,,,,
53_d ,53,d,1,Feeding,Control ,2,Extra small,,0.0231,,,1.75,0.65,,,13.63,14.63
35_a_1,35,a,1,Feeding,Control ,2,Medium ,,0.0412,,,1.98,0.62,,,27.96,14.34
35_a_2,35,a,2,Feeding,Control ,2,Medium ,,0.0449,,,1.78,0.54,,,32.55,18.66
35_a_3,35,a,3,Feeding,Control ,2,Medium ,,,,,,,,,31.41,16.59
35_a_4_x,35,a,4,Chemistry,Control ,2,Medium ,,2.0033,,,,,,,,
35_b_1_x,35,b,1,Chemistry,Control ,2,Extra small,,,,,,,,,,
35_b_2_x,35,b,2,Chemistry,Control ,2,Extra small,,0.3787,,,,,,,,
35_b_3_x,35,b,3,Chemistry,Control ,2,Extra small,,0.3353,,,,,,,,
35_b_4_x,35,b,4,Chemistry,Control ,2,Extra small,,0.3947,,,,,,,,
135_a,135,a,1,Feeding,Control ,2,Extra small,,0.0229,,,1.59,0.54,,,17.18,16.42
135_b_1,135,b,1,Feeding,Control ,2,Large,,,,,1.51,0.56,,,42.75,25.27
135_b_2,135,b,2,Feeding,Control ,2,Large,,,,,1.58,0.75,,,45.83,28.44
135_b_3_,135,b,3,Feeding,Control ,2,Large,,,,,1.47,0.63,,,40.58,25.74
135_b_4_x,135,b,4,Chemistry,Control ,2,Large,,3.9207,,,,,,,45.3,24.69
135_c_x,135,c,1,Chemistry,Control ,2,Extra small,,0.4915,,,,,,,,
131_b,131,b,1,Feeding,Beetle ,2,Extra small,,0.0128,,,1.69,0.54,,14.71,14.71,18.48
131_c,131,c,1,Feeding,Beetle ,2,Extra small,,0.0201,,,1.87,0.56,,13.57,13.57,17.72
131_d_x,131,d,1,Chemistry,Beetle ,2,Extra small,,0.6381,,,,,,,,
131_e_x,131,e,1,Chemistry,Beetle ,2,Extra small,,0.247,,,,,,,,
69_a,69,a,1,Feeding,Beetle ,2,Extra small,,0.0148,,,1.65,0.56,,13.19,13.19,14.73
166_a_1,166,a,1,Feeding,Beetle ,2,Medium ,,,,,1.58,0.62,,34.31,34.31,16.21
166_a_2,166,a,2,Feeding,Beetle ,2,Medium ,,,,,1.6,0.52,,34.66,34.66,13.6
166_a_3,166,a,3,Feeding,Beetle ,2,Medium ,,,,,1.68,0.51,,34.52,34.52,16
166_a_4_x,166,a,4,Chemistry,Beetle ,2,Medium ,,0.9122,,,,,,34.22,34.22,13.55
166_b_1,166,b,1,Feeding,Beetle ,2,Medium ,,0.0276,,,1.64,0.64,,25.2,25.2,16.02
166_b_2,166,b,2,Feeding,Beetle ,2,Medium ,,0.0286,,,1.71,0.57,,23.61,23.61,16.11
166_b_3_x,166,b,3,Chemistry,Beetle ,2,Medium ,,0.8048,,,,,,22.03,22.03,15.09
166_c_1,166,c,1,Feeding,Beetle ,2,Small,,0.0227,,,1.67,0.64,,20.8,20.8,16.78
166_c_2_x,166,c,2,Chemistry,Beetle ,2,Small,,1.4941,,,,,,22.56,22.56,17.26
166_d,166,d,1,Feeding,Beetle ,2,Extra small,,0.0312,,,1.55,0.7,,19.66,19.66,20.22
138_b,138,b,1,Feeding,Beetle ,2,Extra small,,0.0321,,,1.59,0.59,,16.7,16.7,18.67
93_a,93,a,1,Feeding,JA,3,Extra small,,0.0093,2.0702,0.0457,,,22.43,13.86,19.75,
102_a,102,a,1,Feeding,JA,3,Extra small,,0.0072,1.6142,0.0443,,,18.93,12.42,16.68,
102_b,102,b,1,Feeding,JA,3,Small,,0.0138,5.788,0.0469,,,22.56,21.66,20.52,
102_c_1,102,c,1,Feeding,JA,3,Medium ,18.5104,,5.4545,,,,34.95,31.82,30.2,18.2
102_c_2,102,c,2,Feeding,JA,3,Medium ,18.5104,,4.2436,,,,34.95,,30.71,17.54
102_c_3_x,102,c,3,Chemistry,JA,3,Medium ,18.5104,0.8572,2.8001,,,,34.95,,29.95,12.27
102_c_4_Ctrl,102,c,4,Control,JA,3,Medium ,18.5104,,5.593,,,,34.95,,31.1,18.24
37_a_1,37,a,1,Feeding,JA,3,Small,14.1927,,6.0483,0.1908,,,30.27,27.91,26.41,12.3
37_a_2,37,a,2,Feeding,JA,3,Small,14.1927,0.0564,7.7182,0.1678,,,30.27,,27.89,15.15
37_a_3_x,37,a,3,Chemistry,JA,3,Small,14.1927,0.0526,,,,,,,,
37_a_4_Ctrl ,37,a,4,Control,JA,3,Small,14.1927,,,,,,,,,
37_b_1,37,b,1,Feeding,JA,3,Medium ,16.3305,,3.757,,,,33.18,29.61,32.84,14.72
37_b_2,37,b,2,Feeding,JA,3,Medium ,16.3305,,4.0132,,,,33.18,29.61,32.66,13.47
37_b_3_x,37,b,3,Chemistry,JA,3,Medium ,16.3305,0.9178,3.2053,,,,33.18,29.61,32.29,13.97
37_b_4_Ctrl,37,b,4,Control,JA,3,Medium ,16.3305,,5.1396,,,,33.18,29.61,32.56,14.36
37_c_1,37,c,1,Feeding,JA,3,Medium ,19.1735,,5.2025,,,,35.33,30.79,36.06,17.58
37_c_2,37,c,2,Feeding,JA,3,Medium ,19.1735,,4.7687,,,,35.33,30.79,35.25,17.17
37_c_3_x,37,c,3,Chemistry,JA,3,Medium ,19.1735,0.7255,2.5695,,,,35.33,30.79,35.19,12.22
37_c_4_Ctrl,37,c,4,Control,JA,3,Medium ,19.1735,,6.477,,,,35.33,30.79,36.05,17.63
163_a_1,163,a,1,Feeding,JA,3,Medium ,94.6392,,11.6983,,,,48.57,63.58,42.06,22.57
163_a_2,163,a,2,Feeding,JA,3,Medium ,94.6392,,10.1441,,,,48.57,63.58,47.16,21.48
163_a_3_x,163,a,3,Chemistry,JA,3,Medium ,94.6392,1.2392,7.2415,,,,48.57,63.58,40.8,18.91
163_a_4_Ctrl,163,a,4,Control,JA,3,Medium ,94.6392,,18.8818,,,,48.57,63.58,47.05,27.43
163_a_5,163,a,5,Feeding,JA,3,Medium ,94.6392,,11.6083,,,,48.57,63.58,41.26,23.92
163_a_6,163,a,6,Feeding,JA,3,Medium ,94.6392,,13.03,,,,48.57,63.58,47.82,18.22
163_a_7_x,163,a,7,Chemistry,JA,3,Medium ,94.6392,1.1959,6.7265,,,,48.57,63.58,42.67,17.94
163_a_8_Ctrl,163,a,8,Control,JA,3,Medium ,94.6392,,13.9459,,,,48.57,63.58,45.08,19.68
66_a,66,a,1,Feeding,SA,3,Extra small,,0.0202,1.841,0.0715,,,14.26,14.82,12.6,
159_a,159,a,1,Feeding,SA,3,Small,,0.0257,4.2164,0.0835,,,20.79,19.09,18.66,
117_a_x,117,a,1,Chemistry,SA,3,Extra small,,0.3408,,0.1089,,,19.5,16.29,15.18,
117_b_x,117,b,1,Chemistry,SA,3,Extra small,,0.363,,0.1274,,,20.48,18,17.66,
117_c_x,117,c,1,Chemistry,SA,3,Extra small,,0.4007,,0.1694,,,19.88,17.24,17.11,
117_d,117,d,1,Feeding,SA,3,Small,1.0389,0.0327,2.6561,,,,12.74,12.43,,
117_e,117,e,1,Feeding,SA,3,Small,1.1274,0.0365,3.5802,,,,13.83,11.93,,
117_f,117,f,1,Feeding,SA,3,Small,1.2403,0.0524,3.2302,,,,13.68,12.81,,
117_g,117,g,1,Feeding,SA,3,Small,,0.0399,4.4186,0.124,,,23.12,18.38,20.16,
117_h_x,117,h,1,Chemistry,SA,3,Small,,0.0464,4.3615,0.1541,,,21.68,19.62,18.83,
117_i_x,117,i,1,Chemistry,SA,3,Small,2.5973,0.7544,,,,,16.65,16.9,,
117_j_x,117,j,1,Chemistry,SA,3,Small,2.0544,0.6138,,,,,16.85,15.31,,
117_k_1,117,k,1,Feeding,SA,3,Medium ,21.7925,,6.6771,,,,42.15,30.92,30.96,19.86
117_k_2,117,k,2,Feeding,SA,3,Medium ,21.7925,,5.6432,,,,42.15,30.92,30.16,16.28
117_k_3_x,117,k,3,Chemistry,SA,3,Medium ,21.7925,0.9324,,,,,42.15,30.92,,
117_k_4_Ctrl,117,k,4,Control,SA,3,Medium ,21.7925,,,,,,42.15,30.92,,
59_c,59,c,1,Feeding,SA,3,Extra small,,0.0275,2.0996,0.0802,,,19.91,14.83,17,
59_d_x,59,d,1,Chemistry,SA,3,Extra small,1.4159,0.4385,,,,,11.27,14.81,,
59_e,59,e,1,Feeding,SA,3,Small,,0.0526,5.108,0.1724,,,21.58,21.23,18.79,
59_f,59,f,1,Feeding,SA,3,Small,,0.0318,6.68,0.1069,,,23.62,22.07,22.27,
99_a_x,99,a,1,Chemistry,SA,3,Extra small,,0.2694,,0.0804,,,16.16,13.27,14.72,
99_b,99,b,1,Feeding,SA,3,Extra small,,0.0243,1.4758,0.09,,,24.23,22.52,21.81,
99_c,99,c,1,Feeding,SA,3,Small,0.962,0.0287,6.4894,,,,10.62,12.57,,
99_d_1,99,d,1,Feeding,SA,3,Medium ,31.1226,,8.9903,,,,36.61,38.43,36.41,20.46
