Plant Label ,Plant ID ,Treatment,Wave,Bulbil_category,Date_of_pupation,Pupa_weight (g),Pupa_length (mm),Pupa_girth (mm),Tunnel_weight (g),Bulbil_weight,Initial_tube_weight,Final_tube_weight,Frass_weight,Date_of_emmergence,Emerged_beetle_weight,Sex,Empty_pupa_weight
98_a,98,JA,1,Small,10/11/2023,,,,0.0078,,1.1043,1.1109,0.0066,,,,
98_b ,98,JA,1,Small,10/2/2023,0.1451,12.16,8.95,0.9734,,1.1035,1.4269,0.3234,10/18/2023,0.0683,,0.0384
98_c_x,98,JA,1,Small,,,,,,,,,0,,,,
119_a_x,119,JA,1,Small,,,,,,,,,0,,,,
119_b_1,119,JA,1,Medium ,10/11/2023,,,,0.1186,,1.1037,1.1381,0.0344,,,,
119_b_2,119,JA,1,Medium ,10/2/2023,0.1354,12.2,8.4,1.1105,,1.1093,1.5963,0.487,10/18/2023,0.0723,,0.0287
119_b_3_ctrl,119,JA,1,Medium ,,,,,,,,,0,,,,
119_b_4_DI,119,JA,1,Medium ,,,,,,,,,0,,,,
59_a,59,SA,1,Small,10/11/2023,,,,0,,1.1164,1.1164,0,,,,
59_b_x,59,SA,1,Small,,,,,,,,,0,,,,
43_a,43,SA,1,Small,10/2/2023,0.1072,11.26,6.58,0.8819,,1.1166,1.3408,0.2242,10/18/2023,0.0595,,0.0226
125_a,125,SA,1,Small,10/11/2023,,,,0,,1.1085,1.1092,0.0007,,,,
125_b_x,125,SA,1,Small,,,,,,,,,0,,,,
162_a,162,SA,1,Small,10/11/2023,,,,0.0631,,1.1252,1.1702,0.045,,,,
35_a,35,Control ,1,Small,10/11/2023,,,,0.2688,,1.1085,1.1551,0.0466,,,,
35_b_x,35,Control ,1,Small,,,,,,,,,0,,,,
81_a,81,Control ,1,Small,10/2/2023,0.1189,10.73,7.02,0.779,,1.1037,1.4475,0.3438,10/19/2023,0.0567,,0.0159
77_a,77,Control ,1,Small,10/2/2023,0.1242,11.93,7.67,0.7164,,1.1039,1.4047,0.3008,10/19/2023,0.0629,,0.0225
87_a_x,87,Control ,1,Small,,,,,,,,,0,,,,
80_a,80,Control ,1,Small,10/2/2023,0.0802,10.17,6.65,0.6549,,1.117,1.3204,0.2034,10/18/2023,0.0503,,0.0155
172_a,172,Control ,1,Small,10/11/2023,,,,0.0051,,1.1038,1.1044,0.0006,,,,
130_a,130,Beetle ,1,Small,10/2/2023,0.0951,10.93,6.64,1.1485,,1.1037,1.4775,0.3738,10/19/2023,0.0584,,0.0605
131_a,131,Beetle ,1,Small,10/11/2023,,,,0.0603,,1.104,1.2320,0.128,,,,
62_a,62,Beetle ,1,Small,10/11/2023,,,,0,,1.1037,1.1037,0,,,,
62_b_x,62,Beetle ,1,Small,,,,,,,,,0,,,,
138_a_x,138,Beetle ,1,Small,,,,,,,,,0,,,,
113_c_1,113,Beetle ,1,Medium ,10/2/2023,0.1069,10.83,7.06,1.2473,,1.1103,1.3630,0.2527,10/18/2023,0.0557,,0.0242
113_c_2,113,Beetle ,1,Medium ,10/2/2023,0.1251,11.73,8.23,1.3219,,1.1092,1.4286,0.3194,10/19/2023,0.0583,,0.0652
113_c_3_ctrl,113,Beetle ,1,Medium ,,,,,,,,,0,,,,
113_c_4_DI,113,Beetle ,1,Medium ,10/11/2023,,,,0,,,,0,,,,
98_d,98,JA,2,Extra small,10/21/2023,0.1144,11.39,7.24,0.5748,,1.1254,1.3335,0.2081,11/8/2023,0.0601,F,0.0243
98_e_x,98,JA,2,Extra small,,,,,,,,,0,,,,
4_a,4,JA,2,Extra small,,,,,,,1.1033,1.1033,0,,,,
4_b_x ,4,JA,2,Extra small,,,,,,,,,0,,,,
89_a,89,JA,2,Extra small,10/21/2023,,,,0.6331,,1.1032,1.3118,0.2086,11/8/2023,0.0492,F,Destroyed 
89_b,89,JA,2,Extra small,,,,,,,1.1242,1.1242,0,,,,
89_c,89,JA,2,Extra small,10/21/2023,0.0831,10.32,10.32,,,1.109,1.2653,0.1563,11/8/2023,0.0502,M,0.0223
89_d,89,JA,2,Extra small,10/21/2023,0.0616,8.89,8.89,0.3121,,1.1246,1.2314,0.1068,,,,
89_e,89,JA,2,Extra small,10/21/2023,0.0641,9.33,9.33,0.4226,,1.1251,1.2578,0.1327,Did not emerge,,,
89_f_x,89,JA,2,Extra small,,,,,,,,,0,,,,
89_g_x,89,JA,2,Extra small,,,,,,,,,0,,,,
47_a,47,JA,2,Extra small,10/21/2023,0.0719,9.74,6.99,0.5342,,1.117,1.3127,0.1957,11/8/2023,0.0339,M,0.122
47_b_x,47,JA,2,Extra small,,,,,,,,,0,,,,
142_a,142,JA,2,Extra small,10/21/2023,0.0817,9.47,6.7,0.2821,,1.1165,1.2023,0.0858,11/8/2023,0.036,M,
76_a_1,76,SA,2,Small,10/21/2023,0.0713,10.02,5.85,0.5279,,1.1164,1.2956,0.1792,11/8/2023,0.0353,M,0.0074
76_a_2,76,SA,2,Small,,,,,,,1.1035,1.1047,0.0012,,,,
76_b_x,76,SA,2,Small,,,,,,,,,0,,,,
162_b,162,SA,2,Extra small,10/21/2023,0.068,10.39,6.98,0.5331,,1.1243,1.2620,0.1377,11/8/2023,0.0231,M,0.0105
162_c,162,SA,2,Extra small,10/21/2023,0.0966,11.16,7.4,0.5224,,1.1168,1.2581,0.1413,11/8/2023,0.0461,M,0.0321
162_d_x,162,SA,2,Extra small,,,,,,,,,0,,,,
160_a,160,SA,2,Extra small,,,,,,,1.1168,1.2022,0.0854,,,,
160_b,160,SA,2,Extra small,10/24/2023,,,,0.5013,,1.1033,1.3527,0.2494,,,,
160_c_x,160,SA,2,Extra small,,,,,,,,,0,,,,
159_a,159,SA,2,Extra small,,,,,,,1.1095,1.1104,0.0009,,,,
159_b_x,159,SA,2,Extra small,,,,,,,,,0,,,,
180_a,180,Control ,2,Small,10/21/2023,0.0864,10.18,7.11,0.6642,,1.1169,1.3157,0.1988,11/8/2023,0.0313,F,0.012
180_b,180,Control ,2,Small,10/21/2023,0.0776,10.72,6.56,0.4521,,1.1247,1.2534,0.1287,11/8/2023,0.0479,F,0.0211
180_c,180,Control ,2,Small,10/21/2023,0.0905,10.73,6,0.7473,,1.1248,1.2880,0.1632,,,,
180_d_x,180,Control ,2,Extra small,,,,,,,,,0,,,,
77_a,77,Control ,2,Extra small,10/21/2023,0.0999,10.33,7.52,0.5547,,1.1034,1.2592,0.1558,11/8/2023,0.057,F,0.0333
77_b_x,77,Control ,2,Extra small,,,,,,,,,0,,,,
53_a_1,53,Control ,2,Small,10/24/2023,,,,,,1.1164,1.2451,0.1287,,,,
53_a_2,53,Control ,2,Small,10/21/2023,0.097,9.84,6.85,0.4477,,1.1038,1.2877,0.1839,11/8/2023,0.0453,F,0.0289
53_b_1,53,Control ,2,Small,10/21/2023,,,,,,1.1163,1.2551,0.1388,,,,Destroyed
53_b_2,53,Control ,2,Small,10/21/2023,0.09,10.77,6.41,0.5431,,1.1041,1.4044,0.3003,11/8/2023,0.0467,M,0.0131
53_c_x,53,Control ,2,Small,,,,,,,,,0,,,,
