Wave,Treatment,Label,Frass tube IW,Beetle IW,Beetle FW,Mortality date,Dead,Frass tube FW,frass_weight,Weight_gain,Sex
1,0,1,1.0051,48.2,29,,0,1.0266,0.0215,19.2,F
1,0,2,1.0102,46.5,38.9,,0,1.0343,0.0241,7.6,F
1,0,3,1.0011,44.4,35.8,,0,1.0216,0.0205,8.6,F
1,0,4,1.0101,37.6,34.4,,0,1.0147,0.0046,3.2,M
1,0,5,1.0004,39.4,38.8,,0,1.0262,0.0258,0.6,M
1,0,6,1.0024,40.1,40,,0,1.0189,0.0165,0.1,M
1,0,7,1.0067,53.3,55.4,,0,1.0312,0.0245,-2.1,F
1,0,8,1.0101,41.2,45.4,,0,1.075,0.0649,-4.2,F
1,0,9,1.0027,71.8,68.6,,0,1.0579,0.0552,3.2,F
1,0,10,1.01,40.1,32.8,,0,1.0114,0.0014,7.3,M
1,0,11,1.0015,51.5,46.3,,0,1.0418,0.0403,5.2,M
1,0,12,1.0111,49.1,49.6,,0,1.0178,0.0067,-0.5,M
1,0.15,13,1.0084,38.9,43,,0,1.0313,0.0229,-4.1,F
1,0.15,14,1.01,45.6,43.9,,0,1.0249,0.0149,1.7,M
1,0.15,15,1.0131,45.4,35.6,,0,1.0265,0.0134,9.8,M
1,0.15,16,1.0042,29.9,31.1,,0,1.0324,0.0282,-1.2,M
1,0.15,17,1.0131,40.9,35.5,,0,1.0192,0.0061,5.4,F
1,0.15,18,1.0032,51.8,48.1,,0,1.0184,0.0152,3.7,M
1,0.15,19,1.0018,56.7,56.1,,0,1.0406,0.0388,0.6,F
1,0.15,20,1.0104,36,32,10/14/23,1,1.0114,0.001,4,M
1,0.15,21,1.0035,37.9,34.6,,0,1.023,0.0195,3.3,M
1,0.15,22,1.0041,58.8,55.3,,0,1.0367,0.0326,3.5,F
1,0.15,23,1.0104,38.5,38.2,,0,1.0268,0.0164,0.3,M
1,0.15,24,1.0124,39.7,46.7,,0,1.0157,0.0033,-7,M
1,0.25,25,1.0101,51.9,53.6,,0,1.0231,0.013,-1.7,F
1,0.25,26,1.0134,37.9,36.7,,0,1.0277,0.0143,1.2,M
1,0.25,27,1.0108,40.5,36,,0,1.0268,0.016,4.5,M
1,0.25,28,1.0039,42.6,34.3,,0,1.0411,0.0372,8.3,F
1,0.25,29,1.0071,27.9,31,,0,1.0198,0.0127,-3.1,M
1,0.25,30,1.0106,62.7,59,,0,1.0108,0.0002,3.7,F
1,0.25,31,1.0037,47.7,50.6,,0,1.0321,0.0284,-2.9,
1,0.25,32,1.0018,58.8,52.3,,0,1.0252,0.0234,6.5,M
1,0.25,33,1.0078,37.6,35.8,,0,1.0244,0.0166,1.8,F
1,0.25,34,1.0113,39.3,34.1,,0,1.0292,0.0179,5.2,M
1,0.25,35,1.0134,52.8,56.6,,0,1.0461,0.0327,-3.8,F
1,0.25,36,1.0177,61.7,52.1,,0,1.0397,0.022,9.6,F
1,0.35,37,1.0024,51.3,44.2,,0,1.0093,0.0069,7.1,F
1,0.35,38,1.0071,48,45.5,,0,1.0236,0.0165,2.5,F
1,0.35,39,1.0049,54.1,48.9,,0,1.0275,0.0226,5.2,F
1,0.35,40,1.0109,39.1,34.4,10/18/23,1,1.0356,0.0247,4.7,M
1,0.35,41,1.0022,30.6,30.3,10/12/23,1,1.0026,0.0004,0.3,F
1,0.35,42,1.0052,51.1,46.8,,0,1.0441,0.0389,4.3,M
1,0.35,43,1.0078,51.9,43.9,,0,1.0088,0.001,8,M
1,0.35,44,1.0101,48.4,38.9,,0,1.031,0.0209,9.5,F
1,0.35,45,1.0117,37.6,35.9,,0,1.025,0.0133,1.7,F
1,0.35,46,1.0041,58,53.1,,0,1.0281,0.024,4.9,F
1,0.35,47,1.0133,38.2,35.1,,0,1.016,0.0027,3.1,M
1,0.35,48,1.0051,43.4,54.1,,0,1.0173,0.0122,-10.7,F
1,0.5,49,1.0019,47.3,43.9,,0,1.018,0.0161,3.4,F
1,0.5,50,1.0037,41.9,37.3,,0,1.0293,0.0256,4.6,F
1,0.5,51,1.0089,30.6,28.2,,0,1.0166,0.0077,2.4,M
1,0.5,52,1.0066,30,32.1,,0,1.0212,0.0146,-2.1,M
1,0.5,53,1.0041,23,4.5,10/13/23,1,1.0039,0,18.5,
1,0.5,54,1.0094,45.7,42.4,,0,1.031,0.0216,3.3,M
1,0.5,55,1.0006,35,9.9,10/13/23,1,1.0016,0.001,25.1,
1,0.5,56,1.0043,39.2,36.9,,0,1.0144,0.0101,2.3,M
1,0.5,57,1.0044,28.1,14.1,10/13/23,1,1.0051,0.0007,14,F
1,0.5,58,1.0023,54.2,46.3,,0,1.0259,0.0236,7.9,M
1,0.5,59,1.0093,29.2,31.8,,0,1.0622,0.0529,-2.6,M
1,0.5,60,1.0094,48.2,45.8,,0,1.0103,0.0009,2.4,M
